,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation
78,60,Poliwag,Water,Poison,40,50,40,40,40,90,300,50.0,1
79,61,Poliwhirl,Water,Poison,65,65,65,50,50,90,385,64.17,1
80,62,Poliwrath,Rock,Ground,90,95,95,70,90,70,510,85.0,1
81,63,Abra,Rock,Ground,25,20,15,105,55,90,310,51.67,1
82,64,Kadabra,Rock,Ground,40,35,30,120,70,105,400,66.67,1
83,65,Alakazam,Fire,,55,50,45,135,95,120,500,83.33,1
84,65,Alakazam (Mega Alakazam),Fire,,55,50,65,175,105,150,600,100.0,1
85,66,Machop,Water,Psychic,70,80,50,35,35,35,305,50.83,1
86,67,Machoke,Water,Psychic,80,100,70,50,60,45,405,67.5,1
87,68,Machamp,Water,Psychic,90,130,80,65,85,55,505,84.17,1
88,69,Bellsprout,Electric,Steel,50,75,35,70,30,40,300,50.0,1
89,70,Weepinbell,Electric,Steel,65,90,50,85,45,55,390,65.0,1
90,71,Victreebel,Normal,Flying,80,105,65,100,70,70,490,81.67,1
91,72,Tentacool,Normal,Flying,40,40,35,50,100,70,335,55.83,1
92,73,Tentacruel,Normal,Flying,80,70,65,80,120,100,515,85.83,1
93,74,Geodude,Water,,40,80,100,30,30,20,300,50.0,1
94,74,Geodude (Alolan Geodude),Water,Ice,40,80,100,30,30,20,300,50.0,1
95,75,Graveler,Poison,,55,95,115,45,45,35,390,65.0,1
96,75,Graveler (Alolan Graveler),Poison,,55,95,115,45,45,35,390,65.0,1
97,76,Golem,Water,,80,120,130,55,65,45,495,82.5,1
98,76,Golem (Alolan Golem),Water,Ice,80,120,130,55,65,45,495,82.5,1
99,77,Ponyta,Ghost,Poison,50,85,55,65,65,90,410,68.33,1
100,77,Ponyta (Galarian form),Ghost,Poison,50,85,55,65,65,90,410,68.33,1
101,78,Rapidash,Ghost,Poison,65,100,70,80,80,105,500,83.33,1
102,78,Rapidash (Galarian form),Ghost,Poison,65,100,70,80,80,105,500,83.33,1
103,79,Slowpoke,Rock,Ground,90,65,65,40,40,15,315,52.5,1
104,80,Slowbro,Psychic,,95,75,110,100,80,30,490,81.67,1
105,80,Slowbro (Mega Slowbro),Psychic,,95,75,180,130,80,30,590,98.33,1
106,81,Magnemite,Water,,25,35,70,95,55,45,325,54.17,1
107,82,Magneton,Water,,50,60,95,120,70,70,465,77.5,1
108,83,Farfetch'd,Electric,,52,90,55,58,62,60,377,62.83,1
109,83,Farfetch'd (Galarian form),Electric,,52,95,55,58,62,55,377,62.83,1
110,84,Doduo,Grass,Psychic,35,85,45,35,35,75,310,51.67,1
111,85,Dodrio,Grass,Psychic,60,110,70,60,60,110,470,78.33,1
112,86,Seel,Ground,,65,45,55,45,70,45,325,54.17,1
113,87,Dewgong,Ground,,90,70,80,70,95,70,475,79.17,1
114,88,Grimer,Fighting,,80,80,50,40,50,25,325,54.17,1
115,88,Grimer (Alolan Grimer),Fighting,,80,80,50,40,50,25,325,54.17,1
116,89,Muk,Normal,,105,105,75,65,100,50,500,83.33,1
117,89,Muk (Alolan Muk),Poison,,105,105,75,65,100,50,500,83.33,1
118,90,Shellder,Poison,,30,65,100,45,25,40,305,50.83,1
119,91,Cloyster,Ground,Rock,50,95,180,85,45,70,525,87.5,1
120,92,Gastly,Ground,Rock,30,35,30,100,35,80,310,51.67,1
121,93,Haunter,Normal,,45,50,45,115,55,95,405,67.5,1
122,94,Gengar,Grass,,60,65,60,130,75,110,500,83.33,1
123,94,Gengar (Mega Gengar),Normal,,60,65,80,170,95,130,600,100.0,1
124,95,Onix,Normal,,35,45,160,30,45,70,385,64.17,1
125,96,Drowzee,Water,,60,48,45,43,90,42,328,54.67,1
126,97,Hypno,Water,,85,73,70,73,115,67,483,80.5,1
127,98,Krabby,Water,,30,105,90,25,25,50,325,54.17,1
128,99,Kingler,Water,,55,130,115,50,50,75,475,79.17,1
129,100,Voltorb,Water,,40,30,50,55,55,100,330,55.0,1
130,101,Electrode,Water,Psychic,60,50,70,80,80,150,490,81.67,1
131,102,Exeggcute,Psychic,Fairy,60,40,80,60,45,40,325,54.17,1
132,103,Exeggutor,Bug,Flying,95,95,85,125,75,55,530,88.33,1
133,103,Exeggutor (Alolan Exeggutor),Ice,Psychic,95,105,85,125,75,45,530,88.33,1
134,104,Cubone,Electric,,50,50,95,40,50,35,320,53.33,1
135,105,Marowak,Fire,,60,80,110,50,80,45,425,70.83,1
136,105,Marowak (Alolan Marowak),Bug,,60,80,110,50,80,45,425,70.83,1
137,106,Hitmonlee,Bug,Flying,50,120,53,35,110,87,455,75.83,1
138,107,Hitmonchan,Normal,,50,105,79,35,110,76,455,75.83,1
139,108,Lickitung,Water,,90,55,75,60,75,30,385,64.17,1
140,109,Koffing,Water,Flying,40,65,95,60,45,35,340,56.67,1
141,110,Weezing,Water,Dark,65,90,120,85,70,60,490,81.67,1
142,110,Weezing (Galarian form),Water,Ice,65,90,120,85,70,60,490,81.67,1
143,111,Rhyhorn,Normal,,80,85,95,30,30,25,345,57.5,1
144,112,Rhydon,Normal,,105,130,120,45,45,40,485,80.83,1
145,113,Chansey,Water,,250,5,5,35,105,50,450,75.0,1
146,114,Tangela,Electric,,65,55,115,100,40,60,435,72.5,1
147,115,Kangaskhan,Fire,,105,95,80,40,80,90,490,81.67,1
148,115,Kangaskhan (Mega Kangaskhan),Normal,,105,125,100,60,100,100,590,98.33,1
149,116,Horsea,Rock,Water,30,40,70,70,25,60,295,49.17,1
150,117,Seadra,Rock,Water,55,65,95,95,45,85,440,73.33,1
151,118,Goldeen,Rock,Water,45,67,60,35,50,63,320,53.33,1
152,119,Seaking,Rock,Water,80,92,65,65,80,68,450,75.0,1
153,120,Staryu,Rock,Flying,30,45,55,70,55,85,340,56.67,1
154,121,Starmie,Rock,Flying,60,75,85,100,85,115,520,86.67,1
155,122,Mr. Mime,Normal,,40,45,65,100,120,90,460,76.67,1
156,122,Mr. Mime (Galarian form),Ice,Flying,50,65,65,90,90,100,460,76.67,1
157,123,Scyther,Electric,Flying,70,110,80,55,80,105,500,83.33,1
158,124,Jynx,Fire,Flying,65,50,35,115,95,95,455,75.83,1
159,125,Electabuzz,Dragon,,65,83,57,95,85,105,490,81.67,1
160,126,Magmar,Dragon,,65,95,57,100,85,93,495,82.5,1
161,127,Pinsir,Dragon,Flying,65,125,100,55,70,85,500,83.33,1
162,127,Pinsir (Mega Pinsir),Psychic,,65,155,120,65,90,105,600,100.0,1
163,128,Tauros,Psychic,Fighting,75,100,95,40,70,110,490,81.67,1
164,129,Magikarp,Psychic,,20,10,55,15,20,80,200,33.33,1
165,130,Gyarados,Psychic,,95,125,79,60,100,81,540,90.0,1
166,130,Gyarados (Mega Gyarados),Grass,,95,155,109,70,130,81,640,106.67,2
167,131,Lapras,Grass,,130,85,80,85,95,60,535,89.17,2
168,132,Ditto,Grass,,48,48,48,48,48,48,288,48.0,2
169,133,Eevee,Fire,,55,55,50,45,65,55,325,54.17,2
170,133,Eevee (Partner Eevee),Fire,,65,75,70,65,85,75,435,72.5,2
171,134,Vaporeon,Fire,,130,65,60,110,95,65,525,87.5,2
172,135,Jolteon,Water,,65,65,60,110,95,130,525,87.5,2
173,136,Flareon,Water,,65,130,60,95,110,65,525,87.5,2
174,137,Porygon,Water,,65,60,70,85,75,40,395,65.83,2
175,138,Omanyte,Normal,,35,40,100,90,55,35,355,59.17,2
176,139,Omastar,Normal,,70,60,125,115,70,55,495,82.5,2
177,140,Kabuto,Normal,Flying,30,80,90,55,45,55,355,59.17,2
178,141,Kabutops,Normal,Flying,60,115,105,65,70,80,495,82.5,2
179,142,Aerodactyl,Bug,Flying,80,105,65,60,75,130,515,85.83,2
180,142,Aerodactyl (Mega Aerodactyl),Bug,Flying,80,135,85,70,95,150,615,102.5,2
181,143,Snorlax,Bug,Poison,160,110,65,65,110,30,540,90.0,2
182,144,Articuno,Bug,Poison,90,85,100,95,125,85,580,96.67,2
183,145,Zapdos,Poison,Flying,90,90,85,125,90,100,580,96.67,2
184,146,Moltres,Water,Electric,90,100,90,125,85,90,580,96.67,2
185,147,Dratini,Water,Electric,41,64,45,50,50,50,300,50.0,2
186,148,Dragonair,Electric,,61,84,65,70,70,70,420,70.0,2
187,149,Dragonite,Fairy,,91,134,95,100,100,80,600,100.0,2
188,150,Mewtwo,Normal,Fairy,106,110,90,154,90,130,680,113.33,2
189,150,Mewtwo (Mega Mewtwo X),Fairy,,106,190,100,154,100,130,780,130.0,2
190,150,Mewtwo (Mega Mewtwo Y),Fairy,Flying,106,150,70,194,120,140,780,130.0,2
191,151,Mew,Psychic,Flying,100,100,100,100,100,100,600,100.0,2
192,152,Chikorita,Psychic,Flying,45,49,65,49,65,45,318,53.0,2
193,153,Bayleef,Electric,,60,62,80,63,80,60,405,67.5,2
194,154,Meganium,Electric,,80,82,100,83,100,80,525,87.5,2
195,155,Cyndaquil,Electric,,39,52,43,60,50,65,309,51.5,2
196,156,Quilava,Electric,Dragon,58,64,58,80,65,80,405,67.5,2
197,157,Typhlosion,Grass,,78,84,78,109,85,100,534,89.0,2
198,158,Totodile,Water,Fairy,50,65,64,44,48,43,314,52.33,2
199,159,Croconaw,Water,Fairy,65,80,80,59,63,58,405,67.5,2
200,160,Feraligatr,Rock,,85,105,100,79,83,78,530,88.33,2
201,161,Sentret,Water,,35,46,34,35,45,20,215,35.83,2
202,162,Furret,Grass,Flying,85,76,64,45,55,90,415,69.17,2
203,163,Hoothoot,Grass,Flying,60,30,30,36,56,50,262,43.67,2
204,164,Noctowl,Grass,Flying,100,50,50,86,96,70,452,75.33,2
205,165,Ledyba,Normal,,40,20,30,40,80,55,265,44.17,2
206,166,Ledian,Grass,,55,35,50,55,110,85,390,65.0,2
207,167,Spinarak,Grass,,40,60,40,40,40,30,250,41.67,2
208,168,Ariados,Bug,Flying,70,90,70,60,70,40,400,66.67,2
209,169,Crobat,Water,Ground,85,90,80,70,80,130,535,89.17,2
210,170,Chinchou,Water,Ground,75,38,38,56,56,67,330,55.0,2
211,171,Lanturn,Psychic,,125,58,58,76,76,67,460,76.67,2
212,172,Pichu,Dark,,20,40,15,35,35,60,205,34.17,2
213,173,Cleffa,Dark,Flying,50,25,28,45,55,15,218,36.33,2
214,174,Igglybuff,Water,Psychic,90,30,15,40,20,15,210,35.0,2
215,175,Togepi,Ghost,,35,20,65,40,65,20,245,40.83,2
216,176,Togetic,Psychic,,55,40,85,80,105,40,405,67.5,2
217,177,Natu,Psychic,,40,50,45,70,45,70,320,53.33,2
218,178,Xatu,Normal,Psychic,65,75,70,95,70,95,470,78.33,2
219,179,Mareep,Bug,,55,40,40,65,45,35,280,46.67,2
220,180,Flaaffy,Bug,Steel,70,55,55,80,60,45,365,60.83,2
221,181,Ampharos,Normal,,90,75,85,115,90,55,510,85.0,2
222,181,Ampharos (Mega Ampharos),Ground,Flying,90,95,105,165,110,45,610,101.67,2
223,182,Bellossom,Steel,Ground,75,80,95,90,100,50,490,81.67,2
224,183,Marill,Steel,Ground,70,20,50,20,50,40,250,41.67,2
225,184,Azumarill,Fairy,,100,50,80,60,80,50,420,70.0,2
226,185,Sudowoodo,Fairy,,70,100,115,30,65,30,410,68.33,2
227,186,Politoed,Water,Poison,90,75,75,90,100,70,500,83.33,2
228,187,Hoppip,Bug,Steel,35,35,40,35,55,50,250,41.67,2
229,188,Skiploom,Bug,Steel,55,45,50,45,65,80,340,56.67,2
230,189,Jumpluff,Bug,Rock,75,55,70,55,95,110,460,76.67,2
231,190,Aipom,Bug,Fighting,55,70,55,40,55,85,360,60.0,2
232,191,Sunkern,Bug,Fighting,30,30,30,30,30,30,180,30.0,2
233,192,Sunflora,Dark,Ice,75,75,55,105,85,30,425,70.83,2
234,193,Yanma,Normal,,65,65,45,75,45,95,390,65.0,2
235,194,Wooper,Normal,,55,45,45,25,25,15,210,35.0,2
236,195,Quagsire,Fire,,95,85,85,65,65,35,430,71.67,2
237,196,Espeon,Fire,Rock,65,65,60,130,95,110,525,87.5,2
238,197,Umbreon,Ice,Ground,95,65,110,60,130,65,525,87.5,2
239,198,Murkrow,Ice,Ground,60,85,42,85,42,91,405,67.5,2
240,199,Slowking,Water,Rock,95,75,80,100,110,30,490,81.67,2
241,200,Misdreavus,Water,,60,60,60,85,85,85,435,72.5,2
242,201,Unown,Water,,48,72,48,72,48,48,336,56.0,2
243,202,Wobbuffet,Ice,Flying,190,33,58,33,58,33,405,67.5,2
244,203,Girafarig,Water,Flying,70,80,65,90,65,85,455,75.83,2
245,204,Pineco,Steel,Flying,50,65,90,35,35,15,290,48.33,2
246,205,Forretress,Dark,Fire,75,90,140,60,60,40,465,77.5,2
247,206,Dunsparce,Dark,Fire,100,70,70,65,65,45,415,69.17,2
248,207,Gligar,Dark,Fire,65,75,105,35,65,85,430,71.67,2
249,208,Steelix,Water,Dragon,75,85,200,55,65,30,510,85.0,2
250,208,Steelix (Mega Steelix),Ground,,75,125,230,55,95,30,610,101.67,2
251,209,Snubbull,Ground,,60,80,50,40,40,30,300,50.0,2
252,210,Granbull,Normal,,90,120,75,60,60,45,450,75.0,2
253,211,Qwilfish,Normal,,65,95,85,55,55,85,440,73.33,2
254,212,Scizor,Normal,,70,130,100,55,80,65,500,83.33,2
255,212,Scizor (Mega Scizor),Fighting,,70,150,140,65,100,75,600,100.0,2
256,213,Shuckle,Fighting,,20,10,230,10,230,5,505,84.17,2
257,214,Heracross,Ice,Psychic,80,125,75,40,95,85,500,83.33,2
258,214,Heracross (Mega Heracross),Electric,,80,185,115,40,105,75,600,100.0,2
259,215,Sneasel,Fire,,55,95,55,35,75,115,430,71.67,2
260,216,Teddiursa,Normal,,60,80,50,50,50,40,330,55.0,2
261,217,Ursaring,Normal,,90,130,75,75,75,55,500,83.33,2
262,218,Slugma,Electric,,40,40,40,70,40,20,250,41.67,2
263,219,Magcargo,Fire,,60,50,120,90,80,30,430,71.67,2
264,220,Swinub,Water,,50,50,40,30,30,50,250,41.67,2
265,221,Piloswine,Rock,Ground,100,100,80,60,60,50,450,75.0,2
266,222,Corsola,Rock,Ground,65,55,95,65,95,35,410,68.33,2
267,222,Corsola (Galarian form),Rock,Dark,60,55,100,65,100,30,410,68.33,2
268,223,Remoraid,Rock,Dark,35,65,35,65,35,65,300,50.0,2
269,224,Octillery,Psychic,Flying,75,105,75,105,75,45,480,80.0,2
270,225,Delibird,Fire,Flying,45,55,45,65,45,75,330,55.0,2
271,226,Mantine,Psychic,Grass,85,40,70,80,140,70,485,80.83,2
272,227,Skarmory,Grass,,65,80,140,40,70,70,465,77.5,3
273,228,Houndour,Grass,,45,60,30,80,50,65,330,55.0,3
274,229,Houndoom,Grass,,75,90,50,110,80,95,500,83.33,3
275,229,Houndoom (Mega Houndoom),Grass,Dragon,75,90,90,140,90,115,600,100.0,3
276,230,Kingdra,Fire,,75,95,95,95,95,85,540,90.0,3
277,231,Phanpy,Fire,Fighting,90,60,60,40,40,40,330,55.0,3
278,232,Donphan,Fire,Fighting,90,120,120,60,60,50,500,83.33,3
279,233,Porygon2,Fire,Fighting,85,80,90,105,95,60,515,85.83,3
280,234,Stantler,Water,,73,95,62,85,65,85,465,77.5,3
281,235,Smeargle,Water,Ground,55,20,35,20,45,75,250,41.67,3
282,236,Tyrogue,Water,Ground,35,35,35,35,35,35,210,35.0,3
283,237,Hitmontop,Water,Ground,50,95,95,35,110,70,455,75.83,3
284,238,Smoochum,Dark,,45,30,15,85,65,65,305,50.83,3
285,239,Elekid,Dark,,45,63,37,65,55,95,360,60.0,3
286,240,Magby,Normal,,45,75,37,70,55,83,365,60.83,3
287,241,Miltank,Normal,,95,80,105,40,70,100,490,81.67,3
288,242,Blissey,Bug,,255,10,10,75,135,55,540,90.0,3
289,243,Raikou,Bug,,90,85,75,115,100,115,580,96.67,3
290,244,Entei,Bug,Flying,115,115,85,90,75,100,580,96.67,3
291,245,Suicune,Bug,,100,75,115,90,115,85,580,96.67,3
292,246,Larvitar,Bug,Poison,50,64,50,45,50,41,300,50.0,3
293,247,Pupitar,Water,Grass,70,84,70,65,70,51,410,68.33,3
294,248,Tyranitar,Water,Grass,100,134,110,95,100,61,600,100.0,3
295,248,Tyranitar (Mega Tyranitar),Water,Grass,100,164,150,95,120,71,700,116.67,3
296,249,Lugia,Grass,,106,90,130,90,154,110,680,113.33,3
297,250,Ho-Oh,Grass,Dark,106,130,90,110,154,90,680,113.33,3
298,251,Celebi,Grass,Dark,100,100,100,100,100,100,600,100.0,3
299,252,Treecko,Normal,Flying,40,45,35,65,55,70,310,51.67,3
300,253,Grovyle,Normal,Flying,50,65,45,85,65,95,405,67.5,3
301,254,Sceptile,Water,Flying,70,85,65,105,85,120,530,88.33,3
302,254,Sceptile (Mega Sceptile),Water,Flying,70,110,75,145,85,145,630,105.0,3
303,255,Torchic,Psychic,Fairy,45,60,40,70,50,45,310,51.67,3
304,256,Combusken,Psychic,Fairy,60,85,60,85,60,55,405,67.5,3
305,257,Blaziken,Psychic,Fairy,80,120,70,110,70,80,530,88.33,3
306,257,Blaziken (Mega Blaziken),Psychic,Fairy,80,160,80,130,80,100,630,105.0,3
307,258,Mudkip,Bug,Water,50,70,50,50,50,40,310,51.67,3
308,259,Marshtomp,Bug,Flying,70,85,70,60,70,50,405,67.5,3
309,260,Swampert,Grass,,100,110,90,85,90,60,535,89.17,3
310,260,Swampert (Mega Swampert),Grass,Fighting,100,150,110,95,110,70,635,105.83,3
311,261,Poochyena,Normal,,35,55,35,30,30,35,220,36.67,3
312,262,Mightyena,Normal,,70,90,70,60,60,70,420,70.0,3
313,263,Zigzagoon,Normal,,38,30,41,30,41,60,240,40.0,3
314,263,Zigzagoon (Galarian form),Bug,Ground,38,30,41,30,41,60,240,40.0,3
315,264,Linoone,Bug,Flying,78,70,61,50,61,100,420,70.0,3
316,264,Linoone (Galarian form),Bug,Ghost,78,70,61,50,61,100,420,70.0,3
317,265,Wurmple,Normal,,45,45,35,20,30,20,195,32.5,3
318,266,Silcoon,Normal,,50,35,55,25,25,15,205,34.17,3
319,267,Beautifly,Normal,,60,70,50,100,50,65,395,65.83,3
320,268,Cascoon,Fighting,,50,35,55,25,25,15,205,34.17,3
321,269,Dustox,Fighting,,60,50,70,50,90,65,385,64.17,3
322,270,Lotad,Normal,Fairy,40,30,30,40,50,30,220,36.67,3
323,271,Lombre,Rock,,60,50,50,60,70,50,340,56.67,3
324,272,Ludicolo,Normal,,80,70,70,90,100,70,480,80.0,3
325,273,Seedot,Normal,,40,40,50,30,30,30,220,36.67,3
326,274,Nuzleaf,Dark,Ghost,70,70,40,60,40,60,340,56.67,3
327,275,Shiftry,Dark,Ghost,90,100,60,90,60,80,480,80.0,3
328,276,Taillow,Steel,Fairy,40,55,30,30,30,85,270,45.0,3
329,277,Swellow,Steel,Fairy,60,85,60,75,50,125,455,75.83,3
330,278,Wingull,Steel,Rock,40,30,30,55,30,85,270,45.0,3
331,279,Pelipper,Steel,Rock,60,50,100,95,70,65,440,73.33,3
332,280,Ralts,Steel,Rock,28,25,25,45,35,40,198,33.0,3
333,281,Kirlia,Steel,,38,35,35,65,55,50,278,46.33,3
334,282,Gardevoir,Fighting,Psychic,68,65,65,125,115,80,518,86.33,3
335,282,Gardevoir (Mega Gardevoir),Fighting,Psychic,68,85,65,165,135,100,618,103.0,3
336,283,Surskit,Fighting,Psychic,40,30,32,50,52,65,269,44.83,3
337,284,Masquerain,Electric,,70,60,62,100,82,80,454,75.67,3
338,285,Shroomish,Electric,,60,40,60,40,60,35,295,49.17,3
339,286,Breloom,Electric,,60,130,80,60,60,70,460,76.67,3
340,287,Slakoth,Electric,,60,60,60,35,35,30,280,46.67,3
341,288,Vigoroth,Electric,,80,80,80,55,55,90,440,73.33,3
342,289,Slaking,Bug,,150,160,100,95,65,100,670,111.67,3
343,290,Nincada,Bug,,31,45,90,30,30,40,266,44.33,3
344,291,Ninjask,Grass,Poison,61,90,45,50,50,160,456,76.0,3
345,292,Shedinja,Poison,,1,90,45,30,30,40,236,39.33,3
346,293,Whismur,Poison,,64,51,23,51,23,28,240,40.0,3
347,294,Loudred,Water,Dark,84,71,43,71,43,48,360,60.0,3
348,295,Exploud,Water,Dark,104,91,63,91,73,68,490,81.67,3
349,296,Makuhita,Water,Dark,72,60,30,20,30,25,237,39.5,3
350,297,Hariyama,Water,,144,120,60,40,60,50,474,79.0,3
351,298,Azurill,Water,,50,20,40,20,40,20,190,31.67,3
352,299,Nosepass,Fire,Ground,30,45,135,45,90,30,375,62.5,3
353,300,Skitty,Fire,Ground,50,45,45,35,35,50,260,43.33,3
354,301,Delcatty,Fire,Ground,70,65,65,55,55,90,400,66.67,3
355,302,Sableye,Fire,,50,75,75,65,65,50,380,63.33,3
356,302,Sableye (Mega Sableye),Psychic,,50,85,125,85,115,20,480,80.0,3
357,303,Mawile,Psychic,,50,85,85,55,55,50,380,63.33,3
358,303,Mawile (Mega Mawile),Normal,,50,105,125,55,95,50,480,80.0,3
359,304,Aron,Ground,,50,70,100,40,40,30,330,55.0,3
360,305,Lairon,Ground,Dragon,60,90,140,50,50,40,430,71.67,3
361,306,Aggron,Ground,Dragon,70,110,180,60,60,50,530,88.33,3
362,306,Aggron (Mega Aggron),Grass,,70,140,230,60,80,50,630,105.0,3
363,307,Meditite,Grass,Dark,30,40,55,40,55,60,280,46.67,3
364,308,Medicham,Normal,Flying,60,60,75,60,75,80,410,68.33,3
365,308,Medicham (Mega Medicham),Dragon,Flying,60,100,85,80,85,100,510,85.0,3
366,309,Electrike,Dragon,Fairy,40,45,40,65,40,65,295,49.17,3
367,310,Manectric,Normal,,70,75,60,105,60,105,475,79.17,3
